V_a,G_s,A_s,h,CODef,TSSef
100.00000020126258,100.00004715855066,27.00141621333747,3.1511391798779167,0.1,0.1
100.00000020126258,100.00004715855066,27.00141621333747,3.1511391798779167,0.1,0.1
100.00000000794768,100.0000466281042,27.00139000870056,3.145487214480201,0.1,0.1000000000283543
100.0,100.0000461912812,27.00142859669317,3.1444868729596367,0.1,0.1
100.0,100.00004736460676,27.001385067971537,3.1457032600347645,0.1000063895171274,0.1
100.0,100.00004766334524,27.001383791178885,3.1455762257792608,0.100006465349416,0.1
100.0,100.0,27.00137944700976,3.145858941703385,0.1,0.100027508600061
100.0000002640414,100.00000112526254,26.99997547408028,3.1355912528776657,0.1,0.1
100.0000005208893,100.00000348336032,26.9999648628263,3.0899855719123166,0.1,0.1
100.00000026473924,100.00000344005775,26.99995924690732,3.122529338026444,0.1,0.1000002612516739
100.00000026473924,100.00000344005775,26.99995924690732,3.122529338026444,0.1,0.1000002612516739
100.00000024614046,100.0000034451885,26.999959166463235,3.123788615871121,0.1,0.1000006195521615
100.00000024614046,100.0000034451885,26.999959166463235,3.123788615871121,0.1,0.1000006195521615
100.00000027080576,100.00000109711269,26.99996231110397,3.135719360907861,0.1,0.1
100.0000002738298,100.0,26.99995828741823,3.1364368002752,0.1000002599989351,0.1
100.00000025620206,100.00000027494356,26.99995092271626,3.1336453523055767,0.1,0.1000001964441396
100.00000025620206,100.00000027494356,26.99995092271626,3.1336453523055767,0.1,0.1000001964441396
100.00000025620206,100.00000027494356,26.999950922716263,3.1336453523055767,0.1,0.1000001964441396
100.00000021799534,100.00000009685893,26.99995051163243,3.136626535846104,0.1014792295028308,0.1078022873964535
100.00000021799534,100.00000009685893,26.99995051163243,3.136626535846104,0.1014792295028308,0.1078022873964535
